episode,total_reward,progress,win,n_clicks,beta,learn_rate,avg_bonus
279,49.02,5,1,5,0.1,0.001,1.8049
280,-33.51,1,0,2,0.1,0.001,0.7449
281,-18.21,5,0,6,0.1,0.001,2.1314
282,-27.35,4,0,5,0.1,0.001,0.9295
283,-33.37,1,0,2,0.1,0.001,0.8137
284,-20.7,5,0,6,0.1,0.001,1.717
285,-33.4,1,0,2,0.1,0.001,0.8019
286,-33.52,1,0,2,0.1,0.001,0.7399
287,-33.16,1,0,2,0.1,0.001,0.9193
288,-31.76,1,0,2,0.1,0.001,1.6225
289,-31.28,1,0,2,0.1,0.001,1.86
290,-31.95,1,0,2,0.1,0.001,1.527
291,-21.25,4,0,5,0.1,0.001,2.15
292,-30.21,2,0,3,0.1,0.001,1.2634
293,-33.53,1,0,2,0.1,0.001,0.7332
294,-28.99,3,0,4,0.1,0.001,1.0032
295,-31.6,2,0,3,0.1,0.001,0.7998
296,-22.57,5,0,6,0.1,0.001,1.4053
297,-31.67,1,0,2,0.1,0.001,1.6653
298,-30.06,2,0,3,0.1,0.001,1.3142
299,-31.88,1,0,2,0.1,0.001,1.559
300,-24.37,3,0,4,0.1,0.001,2.1582
301,-25.85,4,0,5,0.1,0.001,1.2308
302,-27.81,3,0,4,0.1,0.001,1.2971
303,-29.95,2,0,3,0.1,0.001,1.3515
304,-16.46,6,0,7,0.1,0.001,1.9341
305,-22.87,4,0,5,0.1,0.001,1.8253
306,-31.31,2,0,3,0.1,0.001,0.897
307,-12.74,8,0,9,0.1,0.001,1.696
308,-20.95,5,0,6,0.1,0.001,1.6749
309,-32.06,1,0,2,0.1,0.001,1.4677
310,-26.31,3,0,4,0.1,0.001,1.6737
311,-29.83,2,0,3,0.1,0.001,1.3888
312,-29.72,2,0,3,0.1,0.001,1.4256
313,-16.95,6,0,7,0.1,0.001,1.8643
314,-29.54,3,0,4,0.1,0.001,0.8643
315,-33.49,1,0,2,0.1,0.001,0.754
316,-26.03,3,0,4,0.1,0.001,1.7427
317,-27.5,4,0,5,0.1,0.001,0.9006
318,-31.34,2,0,3,0.1,0.001,0.8872
319,-30.19,2,0,3,0.1,0.001,1.2712
320,-28.81,3,0,4,0.1,0.001,1.0465
321,-29.27,2,0,3,0.1,0.001,1.5756
322,-31.77,1,0,2,0.1,0.001,1.6159
323,-30.18,2,0,3,0.1,0.001,1.2736
324,-18.15,5,0,6,0.1,0.001,2.1413
325,-28.29,2,0,3,0.1,0.001,1.9043
326,-21.9,5,0,6,0.1,0.001,1.5169
327,-28.52,2,0,3,0.1,0.001,1.8252
328,-21.87,5,0,6,0.1,0.001,1.5217
329,38.4,2,1,2,0.1,0.001,0.7016
330,-33.47,1,0,2,0.1,0.001,0.7646
331,-21.15,5,0,6,0.1,0.001,1.6413
332,-27.53,3,0,4,0.1,0.001,1.3665
333,-31.71,2,0,3,0.1,0.001,0.7644
334,-6.63,9,0,10,0.1,0.001,2.037
335,-23.24,4,0,5,0.1,0.001,1.7516
336,-29.5,2,0,3,0.1,0.001,1.5001
337,-16.45,7,0,8,0.1,0.001,1.569
338,-33.61,1,0,2,0.1,0.001,0.6956
339,-21.95,4,0,5,0.1,0.001,2.0107
340,-31.84,1,0,2,0.1,0.001,1.5802
341,-25.81,3,0,4,0.1,0.001,1.7964
342,-25.19,3,0,4,0.1,0.001,1.9536
343,-26.7,3,0,4,0.1,0.001,1.5738
344,-29.7,3,0,4,0.1,0.001,0.8259
345,-31.72,2,0,3,0.1,0.001,0.7588
346,41.56,3,1,3,0.1,0.001,1.1862
347,-26.25,3,0,4,0.1,0.001,1.6877
348,-27.96,2,0,3,0.1,0.001,2.0135
349,-20.38,5,0,6,0.1,0.001,1.7694
350,-30.74,2,0,3,0.1,0.001,1.088
351,-29.72,3,0,4,0.1,0.001,0.8205
