episode,total_reward,progress,win,n_clicks,beta,learn_rate
587,-31.45,2,0,3,0.1,0.001
588,52.61,7,1,7,0.1,0.001
589,-25.7,4,0,5,0.1,0.001
590,-33.02,1,0,2,0.1,0.001
591,-29.35,3,0,4,0.1,0.001
592,-18.56,5,0,6,0.1,0.001
593,-28.06,3,0,4,0.1,0.001
594,-25.67,4,0,5,0.1,0.001
595,37.65,2,1,2,0.1,0.001
596,-22.43,5,0,6,0.1,0.001
597,-27.11,4,0,5,0.1,0.001
598,-32.93,1,0,2,0.1,0.001
599,-31.36,2,0,3,0.1,0.001
600,-27.5,3,0,4,0.1,0.001
601,-25.8,4,0,5,0.1,0.001
602,-33.87,1,0,2,0.1,0.001
603,-28.28,3,0,4,0.1,0.001
604,-34.22,1,0,2,0.1,0.001
605,-32.55,2,0,3,0.1,0.001
606,-34.36,1,0,2,0.1,0.001
607,-29.17,2,0,3,0.1,0.001
608,-34.22,1,0,2,0.1,0.001
609,-25.29,4,0,5,0.1,0.001
610,-34.36,1,0,2,0.1,0.001
611,-18.81,6,0,7,0.1,0.001
612,-12.27,8,0,9,0.1,0.001
613,-34.04,1,0,2,0.1,0.001
614,-33.21,1,0,2,0.1,0.001
615,-32.95,1,0,2,0.1,0.001
616,-27.3,3,0,4,0.1,0.001
617,-23.15,4,0,5,0.1,0.001
618,-32.35,1,0,2,0.1,0.001
619,54.28,7,1,7,0.1,0.001
620,-32.38,1,0,2,0.1,0.001
621,-29.19,3,0,4,0.1,0.001
622,-30.63,2,0,3,0.1,0.001
623,-22.17,5,0,6,0.1,0.001
624,-23.7,5,0,6,0.1,0.001
625,-28.19,4,0,5,0.1,0.001
626,-31.15,2,0,3,0.1,0.001
627,-32.56,2,0,3,0.1,0.001
628,-30.05,3,0,4,0.1,0.001
629,-32.57,2,0,3,0.1,0.001
630,-32.54,1,0,2,0.1,0.001
631,-32.81,1,0,2,0.1,0.001
632,-29.44,2,0,3,0.1,0.001
633,-32.21,2,0,3,0.1,0.001
634,-30.4,2,0,3,0.1,0.001
635,-33.79,1,0,2,0.1,0.001
636,-31.57,2,0,3,0.1,0.001
637,-25.84,4,0,5,0.1,0.001
638,-31.51,2,0,3,0.1,0.001
639,-11.95,8,0,9,0.1,0.001
640,-29.85,3,0,4,0.1,0.001
641,-28.15,3,0,4,0.1,0.001
642,-29.06,3,0,4,0.1,0.001
643,-30.59,3,0,4,0.1,0.001
644,-27.43,3,0,4,0.1,0.001
645,-33.03,1,0,2,0.1,0.001
646,-25.33,5,0,6,0.1,0.001
647,-15.83,9,0,10,0.1,0.001
648,-31.1,2,0,3,0.1,0.001
649,-32.86,1,0,2,0.1,0.001
650,-24.5,4,0,5,0.1,0.001
651,-24.71,4,0,5,0.1,0.001
652,-26.86,4,0,5,0.1,0.001
653,-31.1,2,0,3,0.1,0.001
654,-32.32,1,0,2,0.1,0.001
655,-20.22,6,0,7,0.1,0.001
656,-22.04,5,0,6,0.1,0.001
657,-28.0,3,0,4,0.1,0.001
658,44.79,4,1,4,0.1,0.001
659,-29.2,3,0,4,0.1,0.001
660,-32.24,2,0,3,0.1,0.001
661,-26.26,3,0,4,0.1,0.001
662,-34.38,1,0,2,0.1,0.001
663,-28.05,3,0,4,0.1,0.001
664,-33.94,1,0,2,0.1,0.001
